ccy_bins,count,median,mean,min,max,vm_price_annual,median_vs_vm_price,mean_vs_vm_price
1-9,168,1931.741,2068.826701176304,520.0,13348.8,2400,0.8048920833333333,0.8620111254901267
10-24,241,1939.08,2067.2281900339794,595.375,27192.0,2088,0.9286781609195401,0.9900518151503733
25-49,102,1566.24,1653.3791363800242,128.57142857142858,5675.72,1908,0.8208805031446541,0.8665509100524236
50-99,87,1560.4736842105262,1594.9597942488874,409.92,4900.0,1668,0.9355357819007951,0.9562109078230739
100-249,59,1464.0,1424.5687784171444,340.0,2480.0,1428,1.0252100840336134,0.9975971837655072
250-499,13,1161.96,1244.8561838616972,636.0,2266.8810289389066,1188,0.9780808080808081,1.0478587406243243
500+,13,900.0,1005.7387863653514,128.4,2136.0453686200376,1020,0.8823529411764706,0.9860184180052465
