org_name,org_uuid,arr_ind,current_arr,current_vm_arr,vm_ccy,current_vm_arr_eu,vm_de_ccy,current_vm_arr_total,vm_ccy_total,ccy_bins,arr_per_vm,counts_win,mins_win,counts_mac,mins_mac,counts_android,mins_android,counts_ios,mins_ios,mins_total,counts_total,mins_win_perc,mins_mac_perc,mins_android_perc,mins_ios_perc,counts_win_perc,counts_mac_perc,counts_android_perc,counts_ios_perc,win_arr,mac_arr,ios_arr,android_arr
Prologis,da92136b906e47e09239fb8f8f77a674,True,40637,10740,5,0.0,0,10740.0,5,1:1-9,2148.0,13.0,370.5,188.0,9193.8,15.0,529.93,81.0,5901.2,15995.43,297.0,0.02,0.57,0.03,0.37,0.04,0.63,0.05,0.27,214.8,6121.799999999999,3973.7999999999997,322.2
GE Sauce Labs,daeb9ee480494d1e98d8aeb21447a4d3,False,20401,40801,10,0.0,0,40801.0,10,2:10-24,4080.1,13456.0,83157.13,789.0,15542.08,492.0,7396.77,853.0,16850.18,122946.17,15590.0,0.68,0.13,0.06,0.14,0.86,0.05,0.03,0.05,27744.68,5304.13,5712.14,2448.06
Crealogix,daf4ca5fae9849dc98d8f224b269adf1,True,63589,0,0,25435.63,10,25435.63,10,2:10-24,2543.563,46.0,285.2,13.0,378.4,1255.0,3519.45,390.0,1527.05,5710.1,1704.0,0.05,0.07,0.62,0.27,0.03,0.01,0.74,0.23,1271.7815,1780.4941000000003,6867.620100000001,15770.090600000001
The New York Times Company,db105cdc2cdd4d31aaaf94f8e82d17bf,False,42840,85680,100,0.0,0,85680.0,100,5:100-249,856.8,17777.0,44127.2,732576.0,844021.06,26429.0,31293.12,21021.0,10525.15,929966.53,797803.0,0.05,0.91,0.03,0.01,0.02,0.92,0.03,0.03,4284.0,77968.8,856.8000000000001,2570.4
Peddle,db9887d13c4c4e82948e456fdd2df24b,True,7200,7200,4,0.0,0,7200.0,4,1:1-9,1800.0,87458.0,124083.42,17289.0,28949.68,26448.0,38059.4,25884.0,49462.78,240555.28,157079.0,0.52,0.12,0.16,0.21,0.56,0.11,0.17,0.16,3744.0,864.0,1512.0,1152.0
dcsecosystem,ddef3feeb6d84e808b73f88a60285c86,True,11478,0,0,1761.21,1,1761.21,1,1:1-9,1761.21,0.0,0.0,0.0,0.0,2.0,184.17,1.0,4.9,189.07,3.0,0.0,0.0,0.97,0.03,0.0,0.0,0.67,0.33,0.0,0.0,52.8363,1708.3737
Siemens,de1e4425a78e4e2f84400eefb6b3e9cf,True,11429,0,0,11428.57,4,11428.57,4,1:1-9,2857.1425,2874.0,14975.37,0.0,0.0,0.0,0.0,0.0,0.0,14975.37,2874.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11428.57,0.0,0.0,0.0
iHerb,de28cf9f8a2b4fe0b979bde62e6c92a2,False,58240,58320,18,0.0,0,58320.0,18,2:10-24,3240.0,50468.0,197541.77,13807.0,107124.35,35.0,337.78,14.0,72.77,305076.67,64324.0,0.65,0.35,0.0,0.0,0.78,0.21,0.0,0.0,37908.0,20412.0,0.0,0.0
RCM,deb762964304463393d15c6e7112d9f4,True,102210,70762,70,0.0,0,70762.0,70,4:50-99,1010.8857142857142,484636.0,1449625.79,92.0,7003.1,0.0,0.0,0.0,0.0,1456628.89,484728.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70762.0,0.0,0.0,0.0
THG,df05ea303cb745838de7f7c33e729a8f,True,12240,0,0,12240.0,6,12240.0,6,1:1-9,2040.0,39273.0,13738.3,18897.0,6184.08,3.0,8.18,7.0,561.13,20491.7,58180.0,0.67,0.3,0.0,0.03,0.68,0.32,0.0,0.0,8200.800000000001,3672.0,367.2,0.0
Sophos,df2ef0d0114d4c04bd6fcdc61c15ea2f,True,24660,0,0,24660.0,15,24660.0,15,2:10-24,1644.0,73715.0,423212.5,2.0,20.37,1.0,1.78,0.0,0.0,423234.65,73718.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24660.0,0.0,0.0,0.0
Wonderbox Technologies,df4ae219443f40a2883e20ae9e9d0dfe,True,54000,54000,25,0.0,0,54000.0,25,3:25-49,2160.0,690516.0,1408473.95,0.0,0.0,6.0,42.73,0.0,0.0,1408516.68,690522.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54000.0,0.0,0.0,0.0
Mileway,df6d3d78aad840869dca2d610c26843c,True,6300,0,0,6300.0,3,6300.0,3,1:1-9,2100.0,,,,,,,,,,,,,,,,,,,,,,
Redfin,dfd1f12c32d84763b8327319face598b,True,147084,147084,100,0.0,0,147084.0,100,5:100-249,1470.84,59951.0,55670.43,3500742.0,4548809.5,199422.0,329886.05,251482.0,698129.27,5632495.25,4011597.0,0.01,0.81,0.06,0.12,0.01,0.87,0.05,0.06,1470.84,119138.04000000001,17650.079999999998,8825.039999999999
WBA UK,e04050b38bbe4a499fffd11dcae9b1a3,True,152089,0,0,49690.31,29,49690.31,29,3:25-49,1713.4589655172413,1097005.0,2603777.73,276416.0,860305.02,229.0,4844.53,76.0,2214.18,3471141.47,1373726.0,0.75,0.25,0.0,0.0,0.8,0.2,0.0,0.0,37267.7325,12422.5775,0.0,0.0
ErsteDigital_George,e06ccc6b57254477b3d4bb3da1698679,True,171636,0,0,63420.03,50,63420.03,50,4:50-99,1268.4006,1089204.0,522973.64,259874.0,141545.97,213.0,246.22,642.0,824.62,665590.43,1349933.0,0.79,0.21,0.0,0.0,0.81,0.19,0.0,0.0,50101.8237,13318.2063,0.0,0.0
Brightinsight.com,e0a007ff9bb142af92eb4c3146d7c2e0,True,189997,56796,40,0.0,0,56796.0,40,3:25-49,1419.9,23308.0,45183.05,1669.0,13892.18,31.0,288.48,11.0,144.42,59508.13,25019.0,0.76,0.23,0.0,0.0,0.93,0.07,0.0,0.0,43164.96,13063.08,0.0,0.0
Hermes-Test-CCA,e0e101e0009e4928be58ee5331fe4d5a,True,38573,0,0,8937.6,4,8937.6,4,1:1-9,2234.4,5.0,244.4,6.0,279.67,0.0,0.0,0.0,0.0,524.07,11.0,0.47,0.53,0.0,0.0,0.45,0.55,0.0,0.0,4200.672,4736.928000000001,0.0,0.0
BBVA_MX,e10156eb515b41c194d3e3b066c13b11,True,135840,481,0,105240.1,100,105721.1,100,5:100-249,1057.211,1424456.0,1285032.22,435850.0,313497.97,1259273.0,1845063.03,400974.0,1100393.2,4543986.42,3520553.0,0.28,0.07,0.41,0.24,0.4,0.12,0.36,0.11,29601.908000000003,7400.477000000001,25373.064000000002,43345.651
WienIT GmbH,e1bd7dae015d43b7ac65d580532c1563,True,24693,0,0,10328.35,6,10328.35,6,1:1-9,1721.3916666666667,305.0,13149.02,1297.0,11476.52,9.0,117.18,2.0,43.18,24785.9,1613.0,0.53,0.46,0.0,0.0,0.19,0.8,0.01,0.0,5474.025500000001,4751.041,0.0,0.0
Wynshop,e1c3c98ea9b249418713d4b0efe042aa,True,14400,0,0,4799.9,4,4799.9,4,1:1-9,1199.975,24.0,437.12,6.0,32.23,35.0,242.45,2.0,27.75,739.55,67.0,0.59,0.04,0.33,0.04,0.36,0.09,0.52,0.03,2831.941,191.99599999999998,191.99599999999998,1583.9669999999999
ukparliament2,e1cfd173273e4c88b748e941c3282ad4,True,28800,0,0,28800.0,17,28800.0,17,2:10-24,1694.1176470588234,1188.0,1585.7,38.0,607.07,18.0,171.52,41.0,636.38,3000.67,1285.0,0.53,0.2,0.06,0.21,0.92,0.03,0.01,0.03,15264.0,5760.0,6048.0,1728.0
OneTrust,e249ad4a4722412aa6b44cc2d79957ee,True,55968,31104,16,0.0,0,31104.0,16,2:10-24,1944.0,26257.0,148878.88,4080.0,44277.1,1120.0,2566.43,770.0,3104.03,198826.45,32227.0,0.75,0.22,0.01,0.02,0.81,0.13,0.03,0.02,23328.0,6842.88,622.08,311.04
Coles,e306bc27282b45cbac75834d198a6b99,True,77814,44400,26,0.0,0,44400.0,26,3:25-49,1707.6923076923076,403.0,16649.08,294.0,9640.45,62.0,1747.32,44.0,1561.27,29598.12,803.0,0.56,0.33,0.06,0.05,0.5,0.37,0.08,0.05,24864.000000000004,14652.0,2220.0,2664.0
AAA-Clublabs,e3b2859d160f4bbabb221f78c784198e,True,241839,144000,79,0.0,0,144000.0,79,4:50-99,1822.7848101265822,52427.0,144326.27,58252.0,55611.72,1.0,31.73,2.0,29.9,199999.62,110682.0,0.72,0.28,0.0,0.0,0.47,0.53,0.0,0.0,103680.0,40320.00000000001,0.0,0.0
GrandVision,e4785ed1a2c047f6aa4b9459ef760551,True,29857,0,0,21455.98,12,21455.98,12,2:10-24,1787.9983333333332,306730.0,401201.2,114.0,266.65,2.0,14.33,7.0,133.45,401615.63,306853.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21455.98,0.0,0.0,0.0
Starbucks Corporation,e492ec3d682844909d09e3b69879fc18,True,47760,47760,20,0.0,0,47760.0,20,2:10-24,2388.0,108296.0,144949.12,9676.0,8425.52,0.0,0.0,0.0,0.0,153374.63,117972.0,0.95,0.05,0.0,0.0,0.92,0.08,0.0,0.0,45372.0,2388.0,0.0,0.0
Maps,e4b8de0d231f4aec9f3adac5cab48541,True,67452,67452,50,0.0,0,67452.0,50,4:50-99,1349.04,26584.0,160820.82,10800.0,47426.5,0.0,0.0,0.0,0.0,208247.32,37384.0,0.77,0.23,0.0,0.0,0.71,0.29,0.0,0.0,51938.04,15513.960000000001,0.0,0.0
LifeLock Inc,e50dbdb54e964d0ca14f9776a3afcd4f,True,150300,150300,75,0.0,0,150300.0,75,4:50-99,2004.0,104995.0,182239.05,536447.0,949338.75,28.0,1752.62,121.0,4811.78,1138142.2,641591.0,0.16,0.83,0.0,0.0,0.16,0.84,0.0,0.0,24048.0,124749.0,0.0,0.0
Netskope,e55a974a4c7247c79d48205b37821094,True,33660,18240,22,0.0,0,18240.0,22,2:10-24,829.0909090909091,115656.0,165167.65,108161.0,184761.63,22874.0,18807.93,29.0,87.08,368824.3,246720.0,0.45,0.5,0.05,0.0,0.47,0.44,0.09,0.0,8208.0,9120.0,0.0,912.0
inditex,e57117fbfee54b2b8dc4116343d7768f,True,26136,0,0,9936.0,6,9936.0,6,1:1-9,1656.0,342.0,1712.53,1657.0,601.15,1691.0,1854.2,1527.0,709.37,4877.25,5217.0,0.35,0.12,0.38,0.15,0.07,0.32,0.32,0.29,3477.6,1192.32,1490.3999999999999,3775.68
Stryker,e59431942d524d548683d9ab21269607,True,22249,15574,7,6674.52,3,22248.52,10,2:10-24,2224.852,30533.0,209605.33,1308.0,4730.6,1.0,1.42,0.0,0.0,214337.35,31842.0,0.98,0.02,0.0,0.0,0.96,0.04,0.0,0.0,21803.5496,444.97040000000004,0.0,0.0
SmartThings,e613b6b37020470bb335d9fa48cebda9,True,24000,24000,10,0.0,0,24000.0,10,2:10-24,2400.0,41345.0,59127.12,13228.0,122528.3,0.0,0.0,0.0,0.0,181655.42,54573.0,0.33,0.67,0.0,0.0,0.76,0.24,0.0,0.0,7920.0,16080.000000000002,0.0,0.0
Intuit,e65728b698e34c32989352af0119b888,True,900000,900000,600,0.0,0,900000.0,600,7:500+,1500.0,1438955.0,2230051.31,5985481.0,3633285.87,12288.0,28915.63,13848.0,67587.95,5959840.76,7450572.0,0.37,0.61,0.0,0.01,0.19,0.8,0.0,0.0,333000.0,549000.0,9000.0,0.0
Ebay,e69561c39e754d0b83fdea263a6a0ced,True,60352,33421,16,0.0,0,33421.0,16,2:10-24,2088.8125,6374.0,27125.63,6151.0,7588.8,49.0,116.1,28.0,289.83,35120.37,12602.0,0.77,0.22,0.0,0.01,0.51,0.49,0.0,0.0,25734.170000000002,7352.62,334.21,0.0
Bose,e6ccfeceeff6489d8d573a0fa814d0fe,True,97183,1903,1,55199.76,29,57102.76,30,3:25-49,1903.4253333333334,500103.0,477791.07,1.0,15.15,5.0,259.87,4.0,234.18,478300.27,500113.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57102.76,0.0,0.0,0.0
Discover Financial Services,e763994b4c484a5b83cfcf497c5ab20c,True,702900,254400,400,0.0,0,254400.0,400,6:250-499,636.0,508.0,12041.07,547.0,12515.03,803277.0,3733777.62,819710.0,5154977.79,8913311.5,1624042.0,0.0,0.0,0.42,0.58,0.0,0.0,0.49,0.5,0.0,0.0,147552.0,106848.0
Crowe,e84f973bed43440d9c44c35c936e399f,True,96000,96000,50,0.0,0,96000.0,50,4:50-99,1920.0,103378.0,314872.6,91.0,2509.92,3.0,6.27,31.0,725.73,318114.52,103503.0,0.99,0.01,0.0,0.0,1.0,0.0,0.0,0.0,95040.0,960.0,0.0,0.0
Microsoft Stream,e8b2c92d6508457b8928e00823885fda,True,24000,16800,7,0.0,0,16800.0,7,1:1-9,2400.0,158.0,1331.35,233.0,5638.8,14.0,178.1,67.0,1549.03,8697.28,472.0,0.15,0.65,0.02,0.18,0.33,0.49,0.03,0.14,2520.0,10920.0,3024.0,336.0
SICK AG,e90cfc7dc61b48d18938faef2ae77457,True,24300,0,0,24299.64,14,24299.64,14,2:10-24,1735.6885714285713,61571.0,44162.97,40745.0,30428.98,15688.0,13864.98,21700.0,41516.65,129973.58,139704.0,0.34,0.23,0.11,0.32,0.44,0.29,0.11,0.16,8261.8776,5588.9172,7775.8848,2672.9604
Prudential,e98b566df4e244e0a96b3a48c1651acb,True,201420,27000,15,9000.0,5,36000.0,20,2:10-24,1800.0,40275.0,133499.9,2403.0,53791.48,149.0,3139.33,286.0,8097.6,198528.32,43113.0,0.67,0.27,0.02,0.04,0.93,0.06,0.0,0.01,24120.0,9720.0,1440.0,720.0
adept-poc,e98bb89bfdff433d8c07536b0deb4b4b,True,24000,24000,10,0.0,0,24000.0,10,2:10-24,2400.0,163521.0,140810.37,2289.0,1464.53,0.0,0.0,0.0,0.0,142274.9,165810.0,0.99,0.01,0.0,0.0,0.99,0.01,0.0,0.0,23760.0,240.0,0.0,0.0
Nokia Deepfield Networks,e9dfdb87ad88411aa3fda398f655487b,True,24000,24000,10,0.0,0,24000.0,10,2:10-24,2400.0,12639.0,15907.02,21498.0,32241.9,0.0,0.0,0.0,0.0,48148.92,34137.0,0.33,0.67,0.0,0.0,0.37,0.63,0.0,0.0,7920.0,16080.000000000002,0.0,0.0
Rakuten,ea05fbc5f2e8423d9ad8e1e1336fb5dc,True,13533,13533,8,0.0,0,13533.0,8,1:1-9,1691.625,118264.0,219687.84,1474.0,10080.38,3015.0,10465.52,1663.0,10935.5,251169.24,124416.0,0.87,0.04,0.04,0.04,0.95,0.01,0.02,0.01,11773.71,541.32,541.32,541.32
Qualifacts Systems Inc.,ea0638d03ec54930b1dd295dc4a3a810,True,121992,37200,56,0.0,0,37200.0,56,4:50-99,664.2857142857143,432398.0,1241479.02,7397.0,28403.1,18.0,424.97,8.0,130.03,1270437.12,439821.0,0.98,0.02,0.0,0.0,0.98,0.02,0.0,0.0,36456.0,744.0,0.0,0.0
Stamps.com,eb9bbf06e1a644739f7ffc577716fcf3,True,76200,59400,35,0.0,0,59400.0,35,3:25-49,1697.142857142857,619998.0,2277005.05,30918.0,129202.07,5.0,4.88,0.0,0.0,2406212.0,650921.0,0.95,0.05,0.0,0.0,0.95,0.05,0.0,0.0,56430.0,2970.0,0.0,0.0
Kingland,eba446ccadba44618ace9bc89afa0fe0,True,28704,14304,8,0.0,0,14304.0,8,1:1-9,1788.0,184512.0,449686.22,17.0,201.78,14.0,561.85,67.0,1833.53,452283.39,184610.0,0.99,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14160.96,0.0,0.0,0.0
Twinspires,ebbd5a55514740c5873af908c002fcb4,True,79200,7200,3,0.0,0,7200.0,3,1:1-9,2400.0,105.0,727.38,125.0,774.87,3.0,40.13,0.0,0.0,1542.38,233.0,0.47,0.5,0.03,0.0,0.45,0.54,0.01,0.0,3384.0,3600.0,0.0,216.0
De Beers,ec6367b3251a420f9561b076b90ae00c,True,29700,0,0,14700.0,7,14700.0,7,1:1-9,2100.0,5256.0,47510.85,65598.0,60687.72,10143.0,12412.45,1845.0,8439.63,129050.66,82842.0,0.37,0.47,0.1,0.07,0.06,0.79,0.12,0.02,5439.0,6909.0,1029.0,1470.0
ADP,ecb79435c84c415996152794fc3a3f5b,True,28800,28800,16,0.0,0,28800.0,16,2:10-24,1800.0,228.0,3391.98,103.0,2268.4,0.0,0.0,0.0,0.0,5660.38,331.0,0.6,0.4,0.0,0.0,0.69,0.31,0.0,0.0,17280.0,11520.0,0.0,0.0
TranzactDigital,ecefe628bed14d0c85cedf15ed3c8f45,True,68405,44885,24,0.0,0,44885.0,24,2:10-24,1870.2083333333333,1752.0,1453.22,568.0,606.1,0.0,0.0,5.0,27.47,2086.78,2325.0,0.7,0.29,0.0,0.01,0.75,0.24,0.0,0.0,31419.499999999996,13016.65,448.85,0.0
National Student Clearinghouse,ed8fcbd8ad6e41e68656247ebddbc179,True,28800,24000,10,0.0,0,24000.0,10,2:10-24,2400.0,70368.0,166029.95,17.0,272.12,0.0,0.0,0.0,0.0,166302.07,70385.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24000.0,0.0,0.0,0.0
Aunt Bertha,edebc9dae7df4e96a426195221f75b9f,True,17850,16800,8,0.0,0,16800.0,8,1:1-9,2100.0,7337.0,19918.35,0.0,0.0,1.0,22.23,1.0,31.73,19972.32,7339.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16800.0,0.0,0.0,0.0
Terminix,ee46c46063cc40e0a5b8ec48eee3c459,True,52579,10503,5,0.0,0,10503.0,5,1:1-9,2100.6,1.0,180.0,3.0,18.12,0.0,0.0,5.0,8.78,206.9,9.0,0.87,0.09,0.0,0.04,0.11,0.33,0.0,0.56,9137.61,945.27,420.12,0.0
Papa John's,ee82df1ee7c949f699c373dced851ca1,True,65784,65755,32,0.0,0,65755.0,32,3:25-49,2054.84375,262292.0,2733623.32,1755.0,46739.15,436.0,11908.87,584.0,15786.1,2808057.43,265067.0,0.97,0.02,0.0,0.01,0.99,0.01,0.0,0.0,63782.35,1315.1000000000001,657.5500000000001,0.0
isasaucelabsadmin,ef39448e6de04737a7dba581fa209184,True,47520,23760,5,0.0,0,23760.0,5,1:1-9,4752.0,566.0,11365.53,3716.0,14786.53,20503.0,94910.22,8992.0,38429.47,159491.75,33777.0,0.07,0.09,0.6,0.24,0.02,0.11,0.61,0.27,1663.2,2138.4,5702.4,14256.0
PwC Default Team,eff339df56cb4272855ed608275cc2cb,False,445500,558000,225,0.0,0,558000.0,225,5:100-249,2480.0,992943.0,3256746.19,158.0,1935.87,3862.0,4876.52,635.0,22344.45,3285903.02,997598.0,0.99,0.0,0.0,0.01,1.0,0.0,0.0,0.0,552420.0,0.0,5580.0,0.0
Discount Tire Co.,f0e8e4cd5c5a4cf2a757a9fddedd8eaf,True,20261,20261,10,0.0,0,20261.0,10,2:10-24,2026.1,9045.0,47387.65,312.0,4813.52,228.0,2296.27,82.0,759.0,55256.43,9667.0,0.86,0.09,0.04,0.01,0.94,0.03,0.02,0.01,17424.46,1823.49,202.61,810.44
EsteeLauderCompanies,f20b3c8afcae465d821cfb19cd020a09,True,69082,51082,35,0.0,0,51082.0,35,3:25-49,1459.4857142857143,191.0,6192.93,87.0,592.78,108.0,2815.75,144.0,4227.37,13828.83,530.0,0.45,0.04,0.2,0.31,0.36,0.16,0.2,0.27,22986.9,2043.28,15835.42,10216.400000000001
Cox Automotive,f2b097711e144517a527098b0dd87348,True,90720,85938,60,0.0,0,85938.0,60,4:50-99,1432.3,1625.0,5587.97,2016916.0,2998910.0,327080.0,612880.85,293868.0,492623.42,4110002.23,2639489.0,0.0,0.73,0.15,0.12,0.0,0.76,0.12,0.11,0.0,62734.74,10312.56,12890.699999999999
Toyota Motor North America,f2d2fb264fc94b9dbc3da3c5af08dffc,True,69607,43200,30,0.0,0,43200.0,30,3:25-49,1440.0,1242342.0,1548951.02,658607.0,658518.88,106785.0,109536.5,263391.0,420222.5,2737228.9,2271125.0,0.57,0.24,0.04,0.15,0.55,0.29,0.05,0.12,24623.999999999996,10368.0,6480.0,1728.0
SalesCloud - SalesforceIQ,f2d4345411e143e1adf7734e53567440,True,98480,98480,73,0.0,0,98480.0,73,4:50-99,1349.041095890411,475195.0,944960.55,32359.0,81628.12,7587.0,16726.78,3551.0,14958.32,1058273.76,518692.0,0.89,0.08,0.02,0.01,0.92,0.06,0.01,0.01,87647.2,7878.400000000001,984.8000000000001,1969.6000000000001
Best Buy,f2e71bd044e84d5c96851560a8fe963d,True,522000,504000,240,0.0,0,504000.0,240,5:100-249,2100.0,4735471.0,13387290.85,835417.0,2487470.93,692244.0,1845998.0,777840.0,3588337.98,21309097.77,7040972.0,0.63,0.12,0.09,0.17,0.67,0.12,0.1,0.11,317520.0,60480.0,85680.0,45360.0
Atlassian,f3a78361e97c4f3e999894b45a6544d0,True,55500,31500,15,0.0,0,31500.0,15,2:10-24,2100.0,93518.0,122367.95,135775.0,141637.62,0.0,0.0,1.0,9.58,264015.15,229294.0,0.46,0.54,0.0,0.0,0.41,0.59,0.0,0.0,14490.0,17010.0,0.0,0.0
Salesforce - TZ Ecosystems Teams,f4582b7c577a4280b63edb847a4fb2da,True,4047,4047,3,0.0,0,4047.0,3,1:1-9,1349.0,3116.0,2286.88,2751.0,1898.65,0.0,0.0,0.0,0.0,4185.53,5867.0,0.55,0.45,0.0,0.0,0.53,0.47,0.0,0.0,2225.8500000000004,1821.15,0.0,0.0
Zendesk,f4d8a0f6bd744dffbd99a5dbb9fbafdc,True,1219410,345096,800,0.0,0,345096.0,800,7:500+,431.37,84339008.0,115329913.18,204720.0,307112.58,3107.0,4167.25,3330.0,4812.6,115646005.61,84550165.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,345096.0,0.0,0.0,0.0
Vodafone Ltd,f5e26c65de104517919fce52e78a40a1,True,11448,0,0,4103.91,4,4103.91,4,1:1-9,1025.9775,,,,,,,,,,,,,,,,,,,,,,
Flagstar,f5faf548a746498e8645a2ed30865c5b,True,27600,9600,5,0.0,0,9600.0,5,1:1-9,1920.0,174.0,1342.3,845.0,12120.58,389.0,6371.52,93.0,900.28,20734.68,1501.0,0.06,0.58,0.31,0.04,0.12,0.56,0.26,0.06,576.0,5568.0,384.0,2976.0
Credit One Bank,f67666055e514b4d806aa42a3db4b767,True,100800,6300,49,0.0,0,6300.0,49,3:25-49,128.57142857142858,20009.0,35617.98,364.0,3905.87,415.0,2785.62,242.0,509.72,42819.18,21030.0,0.83,0.09,0.07,0.01,0.95,0.02,0.02,0.01,5229.0,567.0,63.0,441.00000000000006
CGI Group,f7b630bf6d9c4a8a83508219b2df2df3,True,28416,28416,16,0.0,0,28416.0,16,2:10-24,1776.0,101748.0,144723.38,23960.0,36568.65,0.0,0.0,22195.0,73920.57,255212.6,147903.0,0.57,0.14,0.0,0.29,0.69,0.16,0.0,0.15,16197.119999999999,3978.2400000000002,8240.64,0.0
"Safelite Group, Inc.",f7c025cc58b442c3b875db14f8883ede,True,83430,83430,50,0.0,0,83430.0,50,4:50-99,1668.6,727484.0,3740089.85,146.0,2649.02,432.0,2421.38,4240.0,16077.65,3761237.9,732302.0,0.99,0.0,0.0,0.0,0.99,0.0,0.0,0.01,82595.7,0.0,0.0,0.0
RBS,f7ef7515ab7742159911d4f4f7869a94,True,137376,0,0,119519.98999999999,82,119519.98999999999,82,4:50-99,1457.5608536585364,1529164.0,2091885.11,79.0,1006.37,1541.0,33218.52,1428.0,34421.17,2160531.16,1532212.0,0.97,0.0,0.02,0.02,1.0,0.0,0.0,0.0,115934.39029999998,0.0,2390.3997999999997,2390.3997999999997
ReedGlobal,f7fc6497bfec4c5c8cdfdc2590609cfc,True,5664,0,0,5663.89,4,5663.89,4,1:1-9,1415.9725,135051.0,365111.37,0.0,0.0,0.0,0.0,0.0,0.0,365111.37,135051.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5663.89,0.0,0.0,0.0
McClatchy,f8ef4d52c29741b5909b058e5594db33,True,39012,39012,25,0.0,0,39012.0,25,3:25-49,1560.48,1522.0,3702.22,165608.0,128895.22,0.0,0.0,0.0,0.0,132597.43,167130.0,0.03,0.97,0.0,0.0,0.01,0.99,0.0,0.0,1170.36,37841.64,0.0,0.0
Amazon Chime,f92089fecc21453a97489ba30b6f3206,True,240600,175560,100,0.0,0,175560.0,100,5:100-249,1755.6,4007416.0,2572718.48,15990686.0,19853313.08,1.0,3.2,1.0,6.1,22426040.86,19998104.0,0.11,0.89,0.0,0.0,0.2,0.8,0.0,0.0,19311.6,156248.4,0.0,0.0
Navy Federal Credit Union,f97ecb76e27e43f1b42d89179f6fc938,True,22905,22905,15,0.0,0,22905.0,15,2:10-24,1527.0,7962.0,12271.35,4269.0,8158.58,2420.0,2753.65,666.0,1362.67,24546.25,15317.0,0.5,0.33,0.11,0.06,0.52,0.28,0.16,0.04,11452.5,7558.650000000001,1374.3,2519.55
Team Test Factory,f9ec116652c64a9193176f3b64d356e1,False,40385,0,0,42120.01,27,42120.01,27,3:25-49,1560.0003703703705,300913.0,1034253.43,97589.0,259064.23,20.0,94.75,17.0,143.55,1293555.97,398539.0,0.8,0.2,0.0,0.0,0.76,0.24,0.0,0.0,33696.008,8424.002,0.0,0.0
Gothaer Systems GmbH,fa246db4288047678d99b482f07a6221,True,15312,9060,5,0.0,1,9060.0,6,1:1-9,1510.0,711.0,1555.57,126.0,740.18,65.0,897.2,28.0,504.72,3697.67,930.0,0.42,0.2,0.24,0.14,0.76,0.14,0.07,0.03,3805.2,1812.0,1268.4,2174.4
"MGA Insurance Company, Inc.",face4f18b37249ffb7f7b39142484c4b,True,24000,24000,10,0.0,0,24000.0,10,2:10-24,2400.0,14614.0,50683.88,0.0,0.0,0.0,0.0,0.0,0.0,50683.88,14614.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24000.0,0.0,0.0,0.0
The Knights of Columbus,fb6045e6a671414e9784664a92703955,True,38069,17304,10,0.0,0,17304.0,10,2:10-24,1730.4,9.0,105.4,38.0,589.87,0.0,0.0,1.0,8.4,703.67,48.0,0.15,0.84,0.0,0.01,0.19,0.79,0.0,0.02,2595.6,14535.359999999999,173.04,0.0
DisneyIAME,fb800ddcbe6c41759f1f4e5e4b9277f4,False,22680,27216,10,0.0,0,27216.0,10,2:10-24,2721.6,665.0,1131.18,3350.0,1861.07,0.0,0.0,0.0,0.0,2992.25,4015.0,0.38,0.62,0.0,0.0,0.17,0.83,0.0,0.0,10342.08,16873.92,0.0,0.0
JUMBO Supermarkten B.V,fb84a4c481574ee190e2908ac9f9c61a,True,8891,0,0,6210.03,4,6210.03,4,1:1-9,1552.5075,449.0,599.32,3.0,70.42,6967.0,5165.3,0.0,0.0,5835.03,7419.0,0.1,0.01,0.89,0.0,0.06,0.0,0.94,0.0,621.003,62.1003,0.0,5526.9267
C Hoare & co,fb868adc2f96411fa31e9f3f756d74d2,True,21204,0,0,7068.0,5,7068.0,5,1:1-9,1413.6,186.0,2070.22,10169.0,28510.82,0.0,0.0,0.0,0.0,30581.03,10355.0,0.07,0.93,0.0,0.0,0.02,0.98,0.0,0.0,494.76000000000005,6573.240000000001,0.0,0.0
CSC Global,fbbdeb1342824d7faef406255987d978,True,82752,82752,50,0.0,0,82752.0,50,4:50-99,1655.04,302280.0,1627064.68,14.0,297.95,0.0,0.0,0.0,0.0,1627362.63,302294.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,82752.0,0.0,0.0,0.0
