org_name,org_uuid,arr_ind,current_arr,current_vm_arr,vm_ccy,current_vm_arr_eu,vm_de_ccy,current_vm_arr_total,vm_ccy_total,ccy_bins,arr_per_vm,counts_win,mins_win,counts_mac,mins_mac,counts_android,mins_android,counts_ios,mins_ios,mins_total,counts_total,mins_win_perc,mins_mac_perc,mins_android_perc,mins_ios_perc,counts_win_perc,counts_mac_perc,counts_android_perc,counts_ios_perc,win_arr,mac_arr,ios_arr,android_arr
OpenEdge,c8c547fb3a46461b9b8061fb3aa7114e,True,64200,45000,20,0.0,0,45000.0,20,2:10-24,2250.0,66477.0,63309.5,310.0,415.07,0.0,0.0,3.0,13.28,63737.85,66790.0,0.99,0.01,0.0,0.0,1.0,0.0,0.0,0.0,44550.0,450.0,0.0,0.0
BeachBody,c98e7a6084744c92b6f0459147b0c16d,True,72600,55800,50,0.0,0,55800.0,50,4:50-99,1116.0,1405658.0,4384027.63,10022.0,41766.67,3.0,5.9,5.0,76.92,4425877.11,1415688.0,0.99,0.01,0.0,0.0,0.99,0.01,0.0,0.0,55242.0,558.0,0.0,0.0
smoghe,ca17a53ff477451bba6ed5453c175ffd,True,15249,1800,2,0.0,0,1800.0,2,1:1-9,900.0,87.0,2569.37,180.0,6691.35,1.0,1.72,1.0,1.53,9263.97,269.0,0.28,0.72,0.0,0.0,0.32,0.67,0.0,0.0,504.00000000000006,1296.0,0.0,0.0
European Parliament,ca2c427ff48341c5887b1494c5ac29e1,True,45429,0,0,17213.94,10,17213.94,10,2:10-24,1721.3939999999998,201.0,1840.77,386.0,4159.55,11.0,93.22,0.0,0.0,6093.53,598.0,0.3,0.68,0.02,0.0,0.34,0.65,0.02,0.0,5164.182,11705.4792,0.0,344.2788
Conversant Media,ca483970b94f4553b8e64bea8f7cb8f8,True,90000,20496,50,0.0,0,20496.0,50,4:50-99,409.92,297818.0,192479.95,225115.0,174105.68,845.0,524.33,778.0,389.02,367498.98,524556.0,0.52,0.47,0.0,0.0,0.57,0.43,0.0,0.0,10657.92,9633.119999999999,0.0,0.0
HEIST,ca57baca2c2243468da033c42403bd39,True,36000,36000,15,0.0,0,36000.0,15,2:10-24,2400.0,427014.0,943870.55,5.0,9.3,0.0,0.0,0.0,0.0,943879.85,427019.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36000.0,0.0,0.0,0.0
DMED,cb3f66b35fc344d2bd984f18b89dac7e,True,249480,249480,125,0.0,0,249480.0,125,5:100-249,1995.84,1765108.0,5969496.05,643514.0,979942.67,2.0,6.85,0.0,0.0,6949445.57,2408624.0,0.86,0.14,0.0,0.0,0.73,0.27,0.0,0.0,214552.8,34927.200000000004,0.0,0.0
Swiss Re Management Ltd,cb7bfcaac6454d018ad257d41367b9fb,True,13264,0,0,6631.86,4,6631.86,4,1:1-9,1657.965,244.0,1859.77,26080.0,45728.4,0.0,0.0,3.0,240.47,47828.63,26327.0,0.04,0.96,0.0,0.01,0.01,0.99,0.0,0.0,265.2744,6366.585599999999,66.3186,0.0
Santander Group,cc35c7d358ec4985921af82ecb527947,True,66933,0,0,3623.95,4,3623.95,4,1:1-9,905.9875,4.0,1.68,0.0,0.0,339.0,728.72,255.0,551.03,1281.43,598.0,0.0,0.0,0.57,0.43,0.01,0.0,0.57,0.43,0.0,0.0,1558.2984999999999,2065.6515
Trimble,cc49d4de7dae41f9a0a90ade11f8be37,True,20040,10800,5,0.0,0,10800.0,5,1:1-9,2160.0,,,,,,,,,,,,,,,,,,,,,,
Pluralsight,ccb2ae1d49ee4422b0a935d9bbd8e3e8,True,14400,14400,10,0.0,0,14400.0,10,2:10-24,1440.0,1887.0,4250.35,444.0,195.87,0.0,0.0,0.0,0.0,4446.22,2331.0,0.96,0.04,0.0,0.0,0.81,0.19,0.0,0.0,13824.0,576.0,0.0,0.0
Atmosphere,ccbd440a560c49dfb4feaed4a4c9b23c,True,177954,0,0,177954.36,100,177954.36,100,5:100-249,1779.5436,75130.0,107360.68,358465.0,505299.76,10.0,61.45,5.0,134.35,612856.25,433610.0,0.18,0.82,0.0,0.0,0.17,0.83,0.0,0.0,32031.784799999998,145922.5752,0.0,0.0
Amerisourcebergen,ccf784c9ee9b408aa487aee30fca5d17,True,64020,23280,10,0.0,0,23280.0,10,2:10-24,2328.0,25770.0,80285.32,1041.0,871.9,52.0,81.37,101.0,135.9,81374.48,26964.0,0.99,0.01,0.0,0.0,0.96,0.04,0.0,0.0,23047.2,232.8,0.0,0.0
TWDC Digital Media,cd3bd5d3cee14e1bac99d76e605e1996,False,13608,15876,6,0.0,0,15876.0,6,1:1-9,2646.0,5.0,35.12,0.0,0.0,8.0,85.65,0.0,0.0,120.77,13.0,0.29,0.0,0.71,0.0,0.38,0.0,0.62,0.0,4604.04,0.0,0.0,11271.96
